Number,Title,Overview,Genres
2795,Fahrenheit 9/11,michael moore view happen unite state september bush administration allegedly use tragic event push forward agenda unjust war afghanistan iraq,Documentary
2796,Middle School: The Worst Years of My Life,quiet teenage artist rafe katchadorian wild imagination sick middle school rule put rafe best friend leo come plan break every rule school hand book expect trouble follow,Family
2797,Killing Them Softly,jackie cogan enforcer hire restore order three dumb guy rob mob protect card game cause local criminal economy collapse,Crime
2798,The Hole in the Ground,try escape break past sarah eill build new life fringe backwood rural town young son chris terrify encounter mysterious neighbour shatter fragile security throw sarah spiral nightmare paranoia mistrust try uncover disturb change little boy connect ominous sinkhole bury deep forest border home,Horror
2799,Jack-Jack Attack,kari babysitter think night routine babysitting prepare provide neurological stimulation soothe musical accompaniment little jack jack smallest member incredible parr family little know jack jack teach thing two baby special need,Adventure
2800,Project Almanac,group teens discover secret plan time machine construct one however things start get control,Science Fiction
2801,"Good Night, and Good Luck.",story journalist edward murrow stand senator mccarthy anti communist witch hunt early,Drama
2802,Ultraman R/B The Movie: Select! The Crystal of Bond,mysterious ultraman tregear suddenly appear ayaka city tregear ask one would make dream come true prompt katsumi search dream monster appear first time year ultraman blu ultraman rosso join ultraman gee face new threat walk towards dream heart minato family hand ultraman gruebe bear,Action
2803,8 Mile,set detroit city divide mile road split town half along racial line young white rapper jimmy rabbit smith jr summon strength within cross arbitrary boundaries fulfill dream success hip hop pal future three one third place choke,Drama
2804,Original Sin,young man plunge life subterfuge deceit mistake identity pursuit femme fatale whose heart never quite within grasp,Thriller
2805,The Meaning of Life,life question answer series outrageous vignettes begin staid london insurance company transform eye pirate ship national health doctor try claim healthy liver still live donor world voracious glutton bring art vomit new heights spectacular demise,Comedy
2806,The Ant Bully,feed target neighborhood bully year old lucas nickle vent frustrations anthill front yard insects shrink size bug magic elixir convict crimes colony lucas regain freedom live ants learn ways,Fantasy
2807,Kung Fu League,poor comic book artist summon four legendary kung fu master learn highest level martial arts help get girl,Action
2808,The Animatrix,straight creators groundbreaking matrix trilogy collection short animate film world lead anime directors fuse computer graphics japanese anime provide background matrix universe conflict man machine short include final flight osiris second renaissance kid story program world record beyond detective story matriculate,Animation
2809,Jaws: The Revenge,another deadly shark attack ellen brody decide enough new england amity island move caribbean join son michael family great white shark follow hungry live,Adventure
2810,The Haunting,dr david marrow invite nell vance theo luke sanderson eerie isolate hill house subject sleep disorder study unfortunate guests discover marrow far interest sinister mansion soon see true nature horror,Horror
2811,The Bank Job,terry small time car dealer try leave shady past behind start family martine beautiful model terry old neighbourhood know terry angel martine propose foolproof plan rob bank terry recognise danger realise may opportunity lifetime resourceful band thieve burrow way safe deposit vault lloyds bank quickly realise besides millions riches box also contain secrets implicate everyone london notorious underworld gangsters powerful government figure even royal family although heist make headline throughout britain several days government gag order eventually bring report case immediate halt,Thriller
2812,Super Troopers,five bore occasionally high always ineffective vermont state troopers must prove worth governor lose job stumble drug ring plan make bust rival police force steal glory,Comedy
2813,Come and Find Me,girlfriend go miss david must track whereabouts realize pretend,Drama
2814,Jingle All the Way,meet howard langston salesman mattress company constantly busy job also constantly disappoint son miss son karate exposition son tell howard want christmas action figure son television hero try hard make unfortunately howard christmas eve every store sell turbo man howard must travel town compete everybody else find turbo man action figure,Family
2815,Pi,debut film darren aronofsky mathematical genius maximilian cohen discover link connection number reality thus believe predict future,Mystery
2816,The Texas Chainsaw Massacre: The Beginning,chrissie friends set road trip final fling one ship vietnam along way bikers harass foursome cause accident throw chrissie vehicle lawman arrive scene kill one bikers bring chrissie friends hewitt homestead young leatherface learn tool terror,Horror
2817,I Origins,origins follow molecular biologist study evolution human eye find work permeate life brief encounter exotic young woman slip away research continue years later lab partner make stun scientific discovery far reach implications complicate scientific spiritual beliefs travel half way around world risk everything ever know validate theory,Science Fiction
2818,Free Solo,follow alex honnold attempt become first person ever free solo climb yosemite foot high el capitan wall rope safety gear would arguably greatest feat rock climb history,Documentary
2819,I Spit on Your Grave III: Vengeance is Mine,jennifer hill still torment brutal sexual assault endure years ago change identities cities reluctantly join support group begin piece together new life new friend murderer go free tales serial rapists haunt jennifer hunt men responsible system make pay crimes horrific ways imaginable time jury may able save,Horror
2820,Wild Strawberries,crotchety retire doctor isak borg travel stockholm lund sweden pregnant unhappy daughter law marianne order receive honorary degree alma mater along way encounter series hitchhikers cause elderly doctor muse upon pleasures failures life include vivacious young sara dead ringer doctor first love,Drama
2821,Calvary,threaten confession good natured priest must battle dark force close around,Drama
2822,Like Father,workaholic young executive leave altar end caribbean honeymoon cruise last person ever expect estrange equally workaholic father two depart strangers course hilarious adventure couple umbrella clothe cocktails whole lot soul search return renew appreciation family life,Comedy
2823,The Name of the Rose,century franciscan monk william baskerville young novice arrive conference find several monks murder mysterious circumstances solve crimes william must rise church authority fight shadowy conspiracy monastery monks use intelligence considerable,Drama
2824,The Wolfman,lawrence talbot american man visit victorian london make amend estrange father get bite werewolf moonlight transformation leave savage hunger flesh,Horror
2825,Big Eyes,story awaken painter margaret keane phenomenal success subsequent legal difficulties husband claim credit work,Drama
2826,Sky High,set world superheroes commonly know accept young stronghold son commander jetstream try find balance normal teenager extraordinary,Adventure
2827,A Perfect Getaway,honeymoon newlyweds cliff cydney head tropical islands hawaii journey paradisaical countryside couple encounter kale cleo two disgruntle hitchhikers nick gina two wild well mean spirit help guide lush jungles picturesque waterfalls scenic mountainsides quickly give way terror cliff cydney learn grisly murder occur nearby realize follow chance acquaintances suspiciously fit description killers,Thriller
2828,Grimsby,wrongfully accuse run top assassin join force long lose football hooligan brother save world sinister plot,Action
2829,Arthur and the Invisibles,arthur spirit ten year old whose parent away look work whose eccentric grandfather miss several years live grandmother country house two days repossess tear turn block flats unless arthur grandfather return sign paper pay family debt arthur discover key success lie descent land minimoys creatures larger tooth grandfather help relocate garden somewhere among hide pile rubies arthur stout heart save day romance beckon well villain lurk,Adventure
2830,Cat Girl,lovely girl come back wannabe actor joon cheol live girlfriend want get marry try convince get marry make debut break end kick joon cheol nowhere go friend go business trip ask take care pet cat however wait cat girl aphasia joon cheol quarrel friend call cop come house go back girlfriend accept start live cat girl,Drama
2831,Surf's Up,cody surf penguin shiverpool dream make big like idol big journey discover talents think must learn accept surf fame fortune,Animation
2832,Dogtooth,three teenagers confine isolate country estate could well another planet trio spend days listen endless homemade tap teach whole new vocabulary word come beyond family abide instantly assign new mean hence sea refer large armchair zombies little yellow flower invent brother claim ostracize disobedience uber control parent terrorize offspring submission,Drama
2833,Margin Call,thriller revolve around key people investment bank hour period early stag financial crisis,Thriller
2834,The Man from Earth,impromptu goodbye party professor john oldman become mysterious interrogation retire scholar reveal colleagues never age walk earth years,Science Fiction
2835,The Adventures of Ichabod and Mr. Toad,wind willows concise version kenneth grahame story name thaddeus toad owner toad hall prone fads newfangled motor car desire latest land much trouble wrong crowd friends mole rat badger save legend sleepy hollow retell washington irving story set tiny new england town ichabod crane new schoolmaster fall town beauty katrina van tassel town bully brom bone decide little successful need convince katrina,Horror
2836,This Changes Everything,investigative look analysis gender disparity hollywood feature account well know actors executives artists industry,Documentary
2837,Porco Rosso,porco rosso know japan crimson pig kurenai buta sixth animate film hayao miyazaki release introduce italian world war fighter ace live freelance bounty hunter chase air pirate adriatic sea give curse change head pig call marco pagot know world porco rosso italian red pig,Comedy
2838,Monte Carlo,three young women vacation paris find whisk away monte carlo one girls mistake british heiress,Adventure
2839,Mark Felt: The Man Who Brought Down the White House,story mark felt name deep throat help journalists bob woodward carl bernstein uncover watergate scandal,Drama
2840,Uncle Drew,uncle draw recruit squad older basketball players return court compete tournament,Comedy
2841,Baby's Day Out,baby bink ask adore somewhat sickly sweet parent live huge mansion appear social page paper unfortunately everyone world nice baby bink parent especially three enterprising kidnapers pretend photographers newspaper successfully kidnap baby bink harder time keep hold rascal keep one step ahead seem little bite smarter three bumble criminals,Adventure
2842,The Raid 2,fight way apartment build populate army dangerous criminals escape life swat team member rama go undercover join powerful indonesian crime syndicate protect family uncover corrupt members force,Action
2843,The Hundred-Foot Journey,story center around indian family move france open restaurant across street michelin star french restaurant,Drama
2844,"Big Mommas: Like Father, Like Son",fbi agent malcolm turner year old son trent go undercover girls perform arts school trent witness murder pose big momma charmaine must find murderer find,Crime
2845,The Human Centipede (First Sequence),stopover germany middle carefree road trip europe two american girls find alone night car break woods search help nearby villa woo clutch derange retire surgeon explain mad scientific vision captives utter horror subject sick lifetime fantasy first connect people one next bring life human centipede,Horror
2846,Brother Bear 2,kenai find childhood human friend nita two embark journey burn amulet give bear much koda dismay,Adventure
2847,Parenthood,story buckman family friends attempt bring children suffer enjoy events occur estrange relatives black sheep family eccentrics skeletons closet rebellious teenagers,Comedy
2848,The Piano Teacher,erika kohut sexually repress piano teacher live domineer mother meet young man start romantically pursue,Drama
2849,"Definitely, Maybe",decide tell daughter story meet mother discover second look past might also give second chance future,Comedy
2850,The Game,honor birthday san francisco banker nicholas van orton financial genius cold hearted loner receive unusual present younger brother conrad gift certificate play unique kind game nearly nanosecond nicholas find consume dangerous set ever change rule unable distinguish charade end reality begin,History
2851,Ice Age: A Mammoth Christmas,sid accidentally destroy manny heirloom christmas rock end santa naughty list lead hilarious quest north pole make things right end make things much worse manny prehistoric posse band together save christmas entire world,Animation
2852,The Fountain,span one thousand years three parallel stories fountain story love death spirituality fragility existence world,Drama
2853,"Honey, I Shrunk the Kids",scientist father teenage girl boy accidentally shrink two neighborhood teens size insects teens must fight diminutive dangers father search,Adventure
2854,Epic Movie,edward peter lucy susan follow path end find willy chocolate factory walk wardrobe discover world gnarnia rule white bitch meet character harry potter captain jack swallow newly reunite family must team aslo wise horny lion stop white bitch army,Action
2855,Still Alice,alice howland happily marry three grow children renowned linguistics professor start forget word receive devastate diagnosis alice family find bond test,Drama
2856,Little White Lies,despite traumatic event group friends decide go ahead annual beach vacation relationships convictions sense guilt friendship sorely test finally force little white lie tell,Comedy
2857,Buried,paul truck driver work iraq attack group iraqis wake find bury alive inside coffin lighter cell phone race time escape claustrophobic death trap,Drama
2858,Casino Royale,sir jam bond call back retirement stop smersh order trick smersh jam think ultimate plan every agent name jam bond one bond whose real name evelyn tremble send take le chiffre game baccarat bond get handle,Adventure
2859,Pay It Forward,like kid year old trevor mckinney believe goodness human nature like many kid determine change world better unlike kid succeed,Drama
2860,The Good Shepherd,edward wilson witness father suicide member skull bone society student yale morally upright young man value honor discretion qualities help recruit career newly found oss dedication work come without price though lead sacrifice ideals eventually family,Drama
2861,Creepshow,inspire comics george romero stephen king bring five tales terror screen,Horror
2862,Flower & Snake,wealthy president company build unpayable debt local crime lord escape punishment sell famous dancer wife lecherous old man figure year old much bad perhaps others watch put stage underground bdsm sex show begin spiral decent strongly independent woman submissive sex slave,Thriller
2863,The Score,age thief hop retire live ill get wealth young kid convince one last heist,Action
2864,Last Night,story follow marry couple apart night husband take business trip colleague attract resist temptation wife encounter past love,Drama
2865,Say I Love You,inspire selamat pagi indonesia spi high school batu malang,Drama
2866,Just Like Heaven,shortly david abbott move new san francisco dig unwelcome visitor hand winsome elizabeth martinson assert apartment promptly vanish start appear disappear david think ghost elizabeth convince alive,Comedy
2867,Every Which Way But Loose,philo beddoe regular easygoing truck drive guy also best bar room brawler west rockies live pound orangutan name clyde like guy philo finally fall love flighty singer lead screwball chase across american southwest nothing way except motorcycle gang legendary brawler tank murdock,Action
2868,"Remember Me, My Love",story normal italian family come dream lose possibilities want realize carlo giulia marry couple give aspirations order live average life year old son paolo trouble find identity year old daughter valentina already figure use sex advantage family go crisis carlo begin affair giulia attempt seduce director local stage production valentina best land audition tv show,Drama
2869,A Better Tomorrow II,restaurant owner ex con brother policeman team avenge murder old friends daughter triad,Action
2870, the King of Bechuanaland (modern Botswana),"upstanding community leader nils award citizen year learn news son die heroin overdose suspect foul play nils begin investigate soon find center escalate underworld gang war serbian drug dealers sociopathic criminal mastermind know count order disappearance ,drama,the inspire true story seretse khama",Thriller
2872,ì§Three Amigos!,three unemployed actors accept invitation mexican village replay bandit fighter roles unaware real thing,Comedy
2873,"Paris, Je T'Aime",olivier assayas gus van sant wes craven alfonso cuaron among distinguish directors contribute collection stories explore different aspect parisian life colourful character drama include pair mime husband try choose wife lover marry man turn prostitute advice,Drama
2874,Road Trip,four friends take mile road trip retrieve illicit tape mistakenly mail girl friend,Comedy
2875,Flavors of Youth,three different stories youth set different cities china shanghai love sunny breakfast small fashion show direct zhenxing yi plot revolve around young man work beijing use live grandma less develop hometown hunan drown childhood reminiscence receive unexpected call grandma critical condition,Animation
2876,A Real Young Girl,bore restless alice spend much time lust jim local sawmill worker lust alice fill hours pursuits write name mirror vaginal secretions wander field underwear around ankles true teenaged tradition spend lot time write diary,Drama
2877,Superman/Batman: Public Enemies,unite state president lex luthor use oncoming trajectory kryptonite meteor frame superman declare billion bounty head man steel artner crime batman heroes villains alike launch relentless pursuit superman batman must uniteend recruit help try stave action pack onslaught stop meteor luthors plot,Animation
2878,Rape Zombie: Lust of the Dead,nuclear attack tokyo female population attack infect males become sex craze zombies hungry human flesh officeworker momoko nurse nozomi seek shelter shinto shrine meet housewife kanae school girl tamae choices leave group girls decide take stand arm assault rifle explosives fight hordes horny zombies secret kill zombies good,Comedy
2879,Meet the Spartans,creators scary movie date movie come tongue cheek parody sword sandal epics dub meet spartans century fox production write direct filmmaking team jason friedberg aaron seltzer sure leonidas may nothing cape leather underwear protect razor sharp swords persian enemies,Comedy
2880,Wayne's World 2,message jim morrison dream prompt cable access tv star wayne garth put rock concert waynestock aerosmith headliners amid preparations wayne fret record producer put move girlfriend cassandra garth handle advance mega babe honey hornee,Music
2881,Brotherhood of the Wolf,century france chevalier de fronsac native american friend mani send king gevaudan province investigate kill hundreds mysterious beast,Adventure
2882,Batman: Gotham by Gaslight,alternative victorian age gotham city batman begin war crime investigate new series murder jack ripper,Thriller
2883,Morgan,corporate risk management consultant must determine whether terminate artificial life make laboratory environment,Horror
2884,Spy Kids 2: The Island of Lost Dreams,explore adventure carmen juni cortez join family spy business level oss agents new mission save world mad scientist live volcanic island populate imaginative menagerie creatures bizarre island none cortez gadgets work must rely wits survive save day,Action
2885,Trevor Noah: There's a Gupta on My stoep,trevor noah back perform biggest comedy show south african history one johannesburg iconic live performance venues return start new material first new south african show since become host today show biggest stage biggest audience biggest laugh,Comedy
2886,Cargo,infect wake violent pandemic hours live father struggle find new home baby daughter,Drama
2887,The White Crow,director ralph fiennes capture raw physicality brilliance rudolf nureyev whose escape west stun world height cold war magnetic presence nureyev emerge ballet famous star wild beautiful dancer limit world leningrad flirtation western artists ideas lead high stake game cat mouse kgb,Drama
2888,Outlaw King,force exile english crown king scotland legendary warrior robert bruce fight reclaim throne,Drama
2889,Free Fire,crime drama set boston gun sale go wrong,Action
2890,Suburbicon,quiet family town suburbicon best worst humanity hilariously reflect deeds seemingly ordinary people home invasion turn deadly picture perfect family turn blackmail revenge murder,Thriller
2891,Beyond the Lights,noni jean hot new rise star seem pressure cause noni nearly fall apart meet kaz nicol promise young cop aspire politician assign detail kaz love give noni courage find voice break free become artist mean,Romance
2892,Barely Lethal,year old international assassin yearn normal adolescence fake death enroll senior suburban high school quickly learn popular painful get water board,Action
2893,Alien Warfare,team navy seal investigate mysterious science outpost combat squad powerful alien soldier,Action
2894,The Lost Boys,mother two teenage sons move seemingly nice quiet small coastal california town yet soon find overrun bike gang vampires couple teenage friends take upon hunt vampires suspect mysterious murder restore peace calm town,Horror
2895,Pokemon: Mewtwo Returns,direct video sequel pokemon first movie ash misty brock continue explore johto region rescue pikachu jessie jam team rocket kidnap search lead hide plateau mewtwo establish clone pokemon previous film evil giovanni plot recapture mewtwo renew efforts create army bio engineer pokemon aid reluctant meowth ash friends defeat giovanni henchman,Animation
2896,All Is Lost,solo voyage indian ocean veteran mariner awake find vessel take water collision stray ship container radio navigation equipment disable sail unknowingly violent storm barely escape life luck ocean currents may carry ship lane supply dwindle shark circle sailor force face mortality,Action
2897,My Fair Lady,snobbish phonetics professor agree wager take flower girl make presentable high society,Drama
2898,Striking Distance,come police family tom hardy end fight uncle murder father tom believe killer another cop go record allegations demote water way duty tom along new partner jo christman navigate three rivers look clue discover body time victims women tom know must find killer prove innocence,Crime
2899,Desperado,el mariachi musician arrive mexican town mistake hit man run trouble local drug lord seek avenge death lover,Thriller
2900,Finding Neverland,write slump playwright barrie meet widow three children soon become important part barrie life inspiration lead create masterpiece peter pan,Drama
2901,Lemony Snicket's A Series of Unfortunate Events,three wealthy children parent kill fire send distant relative find plot kill seize fortune movie extremely alarm expression mean thrill misadventure involve three ingenious orphan villainous actor name count olaf jim carrey want enormous fortune include suspicious fire delicious pasta jim carrey poorly behave looches billy connolly incredibly deadly viper meryl streep voice imposter name jude law,Adventure
2902,A Night at the Roxbury,despite well adulthood brothers doug steve butabi still live home work flower shop own dad exist hit women disco though routinely unsuccessful chance run richard grieco get inside swank roxbury club mistake high rollers meet dream women vivica cambi resolve open club,Comedy
2903,Dreamcatcher,four boyhood pal perform heroic act change power gain return years later hunt trip maine woods overtake vicious blizzard harbor ominous presence challenge stop alien force friends must first prevent slaughter innocent civilians military vigilante overcome threat bond unite four,Drama
2904,Willow,fearful prophecy state girl child bear bring downfall evil queen bavmorda imprison pregnant women within formidable stronghold nockmaar child elora danan bear nockmaar dungeons identify prophesy child birthmark arm however black sorceress arrive claim child elora mother convince reluctant midwife escape baby willow timid farmer aspire sorcerer entrust deliver royal infant evil,Action
2905,The Rundown,travis mouthy son criminal disappear amazon search treasure artifact father send beck become travis rival affections mariana mysterious brazilian woman steely disposition beck man word take discipline muster work travis nab tyrant treasure,Adventure
2906,Blair Witch,students camp trip discover something sinister lurk beyond tree,Thriller
2907,Fate/Stay Night: Heaven's Feel I. Presage Flower,emiya shirou young magus attend homurahara academy fuyuki city one day clean archery dojo school catch glimpse fight superhuman be get involve holy grail war ritual magi call master fight servants win holy grail shirou join battle stop evildoer win grail save innocent people everything go wrong mysterious shadow begin kill people fuyuki,Action
2908,Something's Gotta Give,harry sanborn age music industry exec fondness younger women like marin latest trophy girlfriend things get little awkward harry suffer heart attack home marin mother erica leave care erica doctor love triangle start take shape,Drama
2909,The Mercy,donald crowhurst amateur sailor endanger fate family business life blind ambition compete sunday time golden globe race attempt become first person history single handedly circumnavigate world without make stopover,Drama
2910,A Cinderella Story,sam montgomery tomboyish unpopular girl school text message somebody name nomad months ask meet halloween dance middle dance floor problem must get back diner run wicked stepmom fiona sharp suppose nomad find must leave best friend carter drive back diner night everything sam life go wacko,Comedy
2911,Happy Together,couple take trip argentina search new begin instead find drift ever apart,Comedy
2912,Bride of Chucky,chucky hook another murderous doll bridal gown clothe tiffany route murder spree unwitting host,Horror
2913,Little Man,leave prison dwarf criminal calvin sims join moron brother percy steal expensive huge diamond jewelry mobster walken chase police calvin hide stone purse executive vanessa edwards whose husband darryl edwards want baby percy convince calvin dress like baby leave front edwards house get inside house retrieve diamond darryl vanessa keep calvin weekend decide adopt walken threaten darryl get stone back,Comedy
2914,12 Years a Slave,pre civil war unite state solomon northup free black man upstate new york abduct sell slavery face cruelty well unexpected kindnesses solomon struggle stay alive retain dignity twelfth year unforgettable odyssey solomon chance meet canadian abolitionist forever alter life,Drama
2915,Blindspotting,collin must make final three days probation chance new begin troublemaking childhood best friend miles work movers collin witness police shoot two men friendship test grapple identity change realities rapidly gentrify neighborhood grow,Comedy
2916,Brick,teenage loner push way underworld high school crime ring investigate disappearance ex girlfriend,Drama
2917,Good Luck Chuck,curse since childhood dentist charlie kagan cannot find right woman even worse learn ex girlfriends find true love man meet relationship end hear charlie reputation good luck charm women line quick tryst charlie meet woman dream must find way break curse risk lose next man meet,Comedy
2918,Jumper,david rice man know boundaries jumper bear uncanny ability teleport instantly anywhere earth discover others like david thrust dangerous bloodthirsty war hunt sinister determine group zealots swear destroy jumpers david extraordinary gift may hope survival,Adventure
2919,Frivolous Lola,story take place northern italy lola masetto get marry masetto want keep lola virgin marry lola impatient remain chastity wed night want sure masetto good lover commit marriage everything trick masetto break moral tradition,Comedy
2920,Tremors: A Cold Day in Hell,burt gummer michael gross son travis welker jamie kennedy find ears graboids ass blasters head canada investigate series deadly giant worm attack arrive remote research facility artic tundra burt begin suspect graboids secretly weaponize prove theory sideline graboid venom hours live hope create antidote fresh venom someone figure milk graboid,Science Fiction
2921,Bowling for Columbine,people die america year hand gun violence talk head yell every tv camera blame everything satan video game much different many countries set us apart become master victim enormous amount violence film gun control film fearful heart soul unite state million americans lucky enough right protect uzi look columbine high school security camera tap home oscar win nra president charlton heston young man make homemade napalm anarchist cookbook murder six year old girl another six year old bowl columbine journey america past hop discover pursuit happiness riddle violence,Documentary
2922,The Skin I Live In,brilliant plastic surgeon create synthetic skin withstand kind damage guinea pig mysterious volatile woman hold key obsession,Drama
2923,I.T.,mike regan successful self make man gorgeous wife beautiful teenage daughter sleek state art mart home soon find deadly high stake game cat mouse consultant ed start use skills stalk mike daughter endanger family business life world privacy personal secrets go viral click mouse mike need rely old connections defeat new kind nemesis,Crime
2924,Straw Dogs,david sumner mild mannered academic unite state marry amy englishwoman order escape hectic stateside lifestyle david wife relocate small town rural cornwall amy raise david ostracize brutish men village include amy old flame charlie eventually taunt escalate two locals rape amy sexual assault awake shockingly violent side david,Crime
2925,The Ash Lad: In the Hall of the Mountain King,espen sh lad poor farmer son embark dangerous quest brothers save princess vile troll know mountain king order collect reward save family farm ruin,Adventure
2926,Gerald's Game,husband sex game go wrong jessie handcuff bed remote lake house face warp visions dark secrets dire choice,Drama
2927,Black Death,plague decimate medieval europe rumour circulate village immune plague talk necromancer lead village able raise dead fearsome knight join cohort soldier young monk charge church investigate journey fill danger upon enter village true horror begin,Action
2928,The Treasure of the Sierra Madre,fred dobbs bob curtin luck tampico mexico meet grizzle prospector name howard decide join search gold wilds central mexico enormous difficulties eventually succeed find gold bandits elements especially greed threaten turn success disaster,Adventure
2929,Samson,lose love life cruel philistine prince young hebrew supernatural strength defend people sacrifice everything avenge love people god,Action
2930,Birds of Passage,marihuana bonanza violent decade saw origins drug traffic colombia rapayet indigenous family get involve war control business end destroy live culture,Drama
2931,Proud Mary,mary hit woman work organize crime family boston whose life completely turn around meet young boy whose path cross professional hit go bad,Thriller
2932,Poison Ivy,seductive teen befriend introvert high school student scheme way live wealthy family,Thriller
2933,Death Wish II,paul kersey vigilante try find five punks murder housekeeper daughter los angeles,Action
2934,Leap Year,yet another anniversary pass without marriage proposal boyfriend anna decide take action aware celtic tradition allow women pop question feb plan follow lover dublin ask marry fate plan however anna wind side emerald isle handsome surly declan irishman may lead anna road true love,Romance
2935,Here Comes the Boom,high school biology teacher moonlight mix martial arts fighter effort raise money save school music program,Action
2936,Austin Powers: The Spy Who Shagged Me,diabolical genius dr evil travel back time steal superspy austin power ojo austin must return swingin help american agent felicity shagwell stop dastardly plan austin face dr evil army minions save world unbelievably groovy way,Adventure
2937,Dragon Ball Z: Bardock - The Father of Goku,bardock son goku father low rank saiyan soldier give power see future last remain alien planet destroy witness destruction race must best stop frieza impend massacre,Action
2938,The Genesis Children,charismatic leader high spirit student group holiday italy surreal adventure friends free flow four part multi sensual symphony bereft traditional story line one national critic describe boys anarchic revelry dream like descent civilization chaos reminiscent lord fly,Drama
2939,The Last Word,retire businesswoman try control everything around decide write obituary young journalist take task find truth result life alter friendship,Comedy
2940,The SpongeBob Movie: Sponge Out of Water,burger beard pirate search final page magical book make evil plan write come true happen krabby patty secret formula entire city bikini bottom put danger spongebob patrick mr krabs squidward sandy plankton need go quest take surface order get back recipe save city gang must retrieve book transform superheroes,Adventure
2941,Better Watch Out,quiet suburban street tuck within safe neighborhood babysitter must defend twelve year old boy strangers break house discover far normal home invasion,Horror
2942,I Give It a Year,quick courtship two lovers hastily decide tie knot first year marriage unfold temptation incompatibility put relationship jeopardy,Comedy
2943,Bound,corky tough female ex con lover violet concoct scheme steal millions stash mob money pin blame violet crook boyfriend caesar,Crime
2944,Bring It On: Worldwide #Cheersmack,destiny captain three time national champion rebel challenge global cheer showdown edgy new team call truth cheer goddess organize virtual battle squads around world seem like whole world want take destiny team might succeed unless destiny rise challenge set ego aside figure real friends,Comedy
2945,Project A,late century hong kong british may rule land pirate rule water one coast guard officer dragon determine beloved coast guard make fool,Action
2946,The Man with One Red Shoe,man mistake spy cia arrive airport one red shoe,Action
2947,Cube 2: Hypercube,sequel low budget first film ube time prisoners find selves advance cube environment must escape kill science fiction film space time one path,Thriller
2948,Friday the 13th Part 2,five years horrible bloodbath camp crystal lake seem jason voorhees demented mother past paul open new camp close infamous site ignore warn stay away sexually charge group counselors follow include child psychologist major ginny jason hide time ready revenge,Horror
2949,Nebraska,age booze addle father take trip montana nebraska estrange son order claim believe million dollar sweepstakes prize,Drama
2950,The Thirteenth Floor,computer scientist hannon fuller discover something extremely important tell discovery colleague douglas hall know someone old man leave letter computer generate parallel world like seemingly real people real emotions,Thriller
2951,Office Christmas Party,uptight ceo sister threaten shut branch branch manager throw epic christmas party order land big client save day party get way hand,Comedy
2952,The Pagemaster,tyler know lot accidents much scar anything might endanger like rid bike climb treehouse old library mystically transport unknown world book try get home along way meet interest character like fantasy adventure horror write colin tinto,Fantasy
2953,Rat Race,ensemble film easy money greed manipulation bad drive las vegas casino tycoon entertain wealthiest high rollers group bet anything pit six ordinary people wild dash million jam locker hundreds miles away tycoon wealthy friends monitor racer every move keep track favorites rule race rule,Adventure
2954,To Kill a Mockingbird,scout finch older brother jem live sleepy maycomb alabama spend much time friend dill spy reclusive mysterious neighbor boo radley atticus widow father respect lawyer defend black man name tom robinson fabricate rape charge trial tangent events expose children evils racism stereotype,Crime
2955,Maggie's Plan,maggie plan baby derail fall love john marry man destroy volatile marriage brilliant impossible georgette one daughter three years later maggie love quandary suspect man ex wife actually perfect,Drama
2956," the Harvard psychologist and inventor who helped invent the modern lie detector test and created Wonder Woman in 1941.""","base extraordinary true story european city bank heist hostage crisis document new yorker article bank drama daniel lang events grasp world attention hostages bond captors turn authorities give rise psychological phenomenon know tockholm syndrome stockholm ,drama,the unconventional life dr william marston",Drama
2958,Carrie,carrie white shy trouble teenage girl torment high school peer fanatically religious mother begin use power telekinesis exact revenge upon,Drama
2959,Hell Fest,halloween night horror theme park costume killer begin slay innocent patrons believe part festivities,Horror
2960,Remember the Titans,lead football team win season coach bill yoast demote replace herman boone tough opinionated different beloved yoast could two men learn overcome differences turn group hostile young men champion,Drama
2961,The Grudge,american nurse karen davis move tokyo encounter vengeful supernatural spirit know grudge often possess victims series horrify mysterious deaths occur spirit pass curse onto victim karen must find away break spell become spirit next victim,Horror
2962,The Bye Bye Man,three college students move old house campus unwittingly unleash supernatural entity know bye bye man come prey upon discover name friends must try save keep bye bye man existence secret save others deadly fate,Horror
2963,The Life Aquatic with Steve Zissou,renowned oceanographer steve zissou swear vengeance upon rare shark devour member crew addition regular team join boat ned man believe zissou father jane journalist pregnant marry man travel sea often run pirate perhaps traumatically various figure zissou past include estrange wife eleanor,Adventure
2964,Notorious,order help bring nazis justice government agent devlin recruit alicia huberman american daughter convict german war criminal spy begin fall one another alicia instruct win affections alexander sebastian nazi hide brazil sebastian become serious relationship alicia stake get higher devlin must watch slip undercover,Thriller
2965,The Howling,bizarre near fatal encounter serial killer newswoman send rehabilitation center whose inhabitants may seem,Horror
2966,Oldboy,everyday man three half days limit resources discover imprison nondescript room years without explanation,Drama
2967,Monster Trucks,look way get away life town bear tripp high school senior build monster truck bits piece scrap cars accident nearby oil drill site displace strange subterranean creature taste talent speed tripp may find key get town unlikely friend,Action
2968,The Constant Gardener,justin quayle low level british diplomat always go work quietly cause problems radical wife tessa kill become determine find thrust middle dangerous conspiracy,Drama
2969,A Single Man,life george falconer british college professor reel recent sudden loss longtime partner traumatic event make george challenge live seek console close girl friend charley struggle question life,Romance
